Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate,Latitude,Longitude
7178,2,32,1,1,1.0,-37.819881175,144.9435501324
7178,2,40,1,0,0.0,-37.819881175,144.9435501324
7178,2,44,1,1,1.0,-37.819881175,144.9435501324
7178,2,45,1,1,1.0,-37.819881175,144.9435501324
7178,2,46,1,0,0.0,-37.819881175,144.9435501324
7182,3,17,1,0,0.0,-37.8210903333,144.9422498333
7182,3,20,1,1,1.0,-37.8210903333,144.9422498333
7182,3,24,1,0,0.0,-37.8210903333,144.9422498333
7183,2,27,1,0,0.0,-37.8204110824,144.9495790412
7183,2,31,1,1,1.0,-37.8204110824,144.9495790412
7183,2,32,1,1,1.0,-37.8204110824,144.9495790412
7183,1,40,1,0,0.0,-37.8204110824,144.9495790412
7183,1,44,1,1,1.0,-37.8204110824,144.9495790412
7184,2,6,1,1,1.0,-37.82147906,144.946917024
7184,2,22,1,0,0.0,-37.82147906,144.946917024
7184,2,25,3,0,0.0,-37.82147906,144.946917024
7184,2,31,1,1,1.0,-37.82147906,144.946917024
7184,2,32,2,1,0.5,-37.82147906,144.946917024
7184,3,37,1,1,1.0,-37.82147906,144.946917024
7185,3,13,1,0,0.0,-37.8213405333,144.9446856667
7185,3,14,1,0,0.0,-37.8213405333,144.9446856667
7185,2,34,1,0,0.0,-37.8213405333,144.9446856667
7186,0,5,1,0,0.0,-37.8211523321,144.9435490036
7186,3,5,1,1,1.0,-37.8211523321,144.9435490036
7186,3,14,1,0,0.0,-37.8211523321,144.9435490036
7186,3,15,1,1,1.0,-37.8211523321,144.9435490036
7186,3,17,2,0,0.0,-37.8211523321,144.9435490036
7186,3,18,3,0,0.0,-37.8211523321,144.9435490036
7186,3,19,2,2,1.0,-37.8211523321,144.9435490036
7186,3,20,2,0,0.0,-37.8211523321,144.9435490036
7186,3,22,1,1,1.0,-37.8211523321,144.9435490036
7186,3,23,3,1,0.3333,-37.8211523321,144.9435490036
7186,3,24,2,1,0.5,-37.8211523321,144.9435490036
7186,2,28,1,0,0.0,-37.8211523321,144.9435490036
7186,2,33,1,1,1.0,-37.8211523321,144.9435490036
7188,3,3,1,1,1.0,-37.82035444,144.93979128
7188,2,10,1,0,0.0,-37.82035444,144.93979128
7188,3,11,1,0,0.0,-37.82035444,144.93979128
7188,2,12,1,0,0.0,-37.82035444,144.93979128
7188,3,12,1,0,0.0,-37.82035444,144.93979128
7188,3,13,2,0,0.0,-37.82035444,144.93979128
7188,4,13,1,0,0.0,-37.82035444,144.93979128
7188,3,14,1,0,0.0,-37.82035444,144.93979128
7188,3,18,1,0,0.0,-37.82035444,144.93979128
7188,2,22,1,0,0.0,-37.82035444,144.93979128
7188,2,24,1,0,0.0,-37.82035444,144.93979128
7188,1,25,1,1,1.0,-37.82035444,144.93979128
7188,1,28,1,1,1.0,-37.82035444,144.93979128
7188,2,30,1,1,1.0,-37.82035444,144.93979128
7189,3,13,1,0,0.0,-37.8159378333,144.9649788
7189,3,24,1,0,0.0,-37.8159378333,144.9649788
7189,3,25,1,0,0.0,-37.8159378333,144.9649788
7190,3,18,1,0,0.0,-37.8158449,144.964955625
7190,3,19,2,0,0.0,-37.8158449,144.964955625
7190,3,22,1,1,1.0,-37.8158449,144.964955625
7190,3,24,4,0,0.0,-37.8158449,144.964955625
7190,3,25,7,3,0.4286,-37.8158449,144.964955625
7191,3,21,1,0,0.0,-37.813922625000004,144.9402477875
7191,3,23,1,0,0.0,-37.813922625000004,144.9402477875
7191,3,25,2,1,0.5,-37.813922625000004,144.9402477875
7193,3,17,1,0,0.0,-37.8146021125,144.9397693042
7193,3,21,1,0,0.0,-37.8146021125,144.9397693042
7193,3,22,1,0,0.0,-37.8146021125,144.9397693042
7193,3,23,1,0,0.0,-37.8146021125,144.9397693042
7193,3,24,1,0,0.0,-37.8146021125,144.9397693042
7194,3,11,1,0,0.0,-37.819026275,144.944266975
7194,3,13,1,0,0.0,-37.819026275,144.944266975
7194,3,23,1,1,1.0,-37.819026275,144.944266975
7195,3,14,1,0,0.0,-37.8131562,144.94227694
7195,3,19,1,0,0.0,-37.8131562,144.94227694
7195,3,24,5,0,0.0,-37.8131562,144.94227694
7195,3,25,1,1,1.0,-37.8131562,144.94227694
7197,1,18,1,1,1.0,-37.8201638571,144.9454077095
7197,1,20,2,0,0.0,-37.8201638571,144.9454077095
7197,3,20,4,0,0.0,-37.8201638571,144.9454077095
7197,0,21,1,1,1.0,-37.8201638571,144.9454077095
7197,3,21,2,0,0.0,-37.8201638571,144.9454077095
7197,3,22,1,1,1.0,-37.8201638571,144.9454077095
7197,1,23,1,1,1.0,-37.8201638571,144.9454077095
7197,3,23,1,0,0.0,-37.8201638571,144.9454077095
7197,3,24,3,2,0.6667,-37.8201638571,144.9454077095
7197,3,25,1,0,0.0,-37.8201638571,144.9454077095
7197,0,28,1,1,1.0,-37.8201638571,144.9454077095
7197,0,30,1,1,1.0,-37.8201638571,144.9454077095
7197,0,46,1,1,1.0,-37.8201638571,144.9454077095
7200,1,42,1,0,0.0,-37.8216740857,144.9504825571
7200,1,45,1,1,1.0,-37.8216740857,144.9504825571
7202,2,0,1,1,1.0,-37.8199626172,144.9471867207
7202,2,2,1,1,1.0,-37.8199626172,144.9471867207
7202,2,16,1,0,0.0,-37.8199626172,144.9471867207
7202,2,19,2,1,0.5,-37.8199626172,144.9471867207
7202,2,20,1,1,1.0,-37.8199626172,144.9471867207
7202,0,22,1,1,1.0,-37.8199626172,144.9471867207
7202,2,22,2,1,0.5,-37.8199626172,144.9471867207
7202,2,25,1,0,0.0,-37.8199626172,144.9471867207
7202,2,27,2,1,0.5,-37.8199626172,144.9471867207
7202,3,29,1,1,1.0,-37.8199626172,144.9471867207
7202,2,30,1,1,1.0,-37.8199626172,144.9471867207
7202,2,31,1,0,0.0,-37.8199626172,144.9471867207
7202,5,34,1,1,1.0,-37.8199626172,144.9471867207
7202,6,36,1,1,1.0,-37.8199626172,144.9471867207
7202,4,38,1,1,1.0,-37.8199626172,144.9471867207
7202,5,39,1,1,1.0,-37.8199626172,144.9471867207
7202,1,41,1,1,1.0,-37.8199626172,144.9471867207
7202,4,45,1,1,1.0,-37.8199626172,144.9471867207
7202,1,46,1,1,1.0,-37.8199626172,144.9471867207
7203,6,38,1,1,1.0,-37.8219711,144.9477903
7205,3,25,1,0,0.0,-37.814602975,144.9468118437
7205,1,30,2,0,0.0,-37.814602975,144.9468118437
7205,1,31,4,2,0.5,-37.814602975,144.9468118437
7207,3,12,1,0,0.0,-37.82021871,144.94446747
7207,3,15,1,0,0.0,-37.82021871,144.94446747
7207,3,16,1,0,0.0,-37.82021871,144.94446747
7207,3,23,2,0,0.0,-37.82021871,144.94446747
7208,3,16,1,1,1.0,-37.8211671364,144.9455557455
7208,0,17,1,0,0.0,-37.8211671364,144.9455557455
7208,3,17,1,0,0.0,-37.8211671364,144.9455557455
7208,2,18,1,1,1.0,-37.8211671364,144.9455557455
7208,3,19,2,1,0.5,-37.8211671364,144.9455557455
7208,3,24,1,1,1.0,-37.8211671364,144.9455557455
7210,3,15,1,0,0.0,-37.8125659,144.9402362571
7210,3,18,1,1,1.0,-37.8125659,144.9402362571
7210,3,19,1,1,1.0,-37.8125659,144.9402362571
7210,3,21,1,0,0.0,-37.8125659,144.9402362571
7210,3,22,1,0,0.0,-37.8125659,144.9402362571
7210,3,23,1,0,0.0,-37.8125659,144.9402362571
7210,3,24,2,1,0.5,-37.8125659,144.9402362571
7210,3,25,2,0,0.0,-37.8125659,144.9402362571
7212,5,16,1,0,0.0,-37.8195009077,144.9436029308
7212,3,19,1,0,0.0,-37.8195009077,144.9436029308
7212,3,24,3,3,1.0,-37.8195009077,144.9436029308
7213,3,14,1,0,0.0,-37.8205729467,144.94412274
7213,2,19,1,0,0.0,-37.8205729467,144.94412274
7213,0,23,1,1,1.0,-37.8205729467,144.94412274
7213,0,30,1,1,1.0,-37.8205729467,144.94412274
7213,2,32,2,1,0.5,-37.8205729467,144.94412274
7213,2,33,1,0,0.0,-37.8205729467,144.94412274
7213,4,38,1,0,0.0,-37.8205729467,144.94412274
7213,4,42,1,0,0.0,-37.8205729467,144.94412274
7214,3,1,1,1,1.0,-37.820204925,144.9460235125
7214,2,12,1,1,1.0,-37.820204925,144.9460235125
7214,3,18,1,0,0.0,-37.820204925,144.9460235125
7214,3,19,2,1,0.5,-37.820204925,144.9460235125
7214,3,21,2,1,0.5,-37.820204925,144.9460235125
7214,3,23,1,0,0.0,-37.820204925,144.9460235125
7214,3,24,4,0,0.0,-37.820204925,144.9460235125
7214,3,25,1,1,1.0,-37.820204925,144.9460235125
7218,4,15,1,0,0.0,-37.8205733154,144.9546815846
7218,0,20,1,0,0.0,-37.8205733154,144.9546815846
7218,0,24,2,0,0.0,-37.8205733154,144.9546815846
7218,0,25,3,2,0.6667,-37.8205733154,144.9546815846
7218,0,26,1,1,1.0,-37.8205733154,144.9546815846
7218,2,35,1,1,1.0,-37.8205733154,144.9546815846
7219,0,13,1,0,0.0,-37.8221406773,144.9538281455
7219,0,19,1,0,0.0,-37.8221406773,144.9538281455
7219,0,23,2,0,0.0,-37.8221406773,144.9538281455
7219,0,25,2,0,0.0,-37.8221406773,144.9538281455
7219,0,26,2,1,0.5,-37.8221406773,144.9538281455
7220,3,21,1,0,0.0,-37.8150007556,144.9370899278
7220,3,22,3,2,0.6667,-37.8150007556,144.9370899278
7220,3,23,2,1,0.5,-37.8150007556,144.9370899278
7220,3,24,1,0,0.0,-37.8150007556,144.9370899278
7220,3,25,2,2,1.0,-37.8150007556,144.9370899278
7220,2,42,1,1,1.0,-37.8150007556,144.9370899278
7222,2,18,1,1,1.0,-37.82058756,144.94299872
7222,0,40,1,1,1.0,-37.82058756,144.94299872
7222,3,45,1,1,1.0,-37.82058756,144.94299872
7223,0,26,2,0,0.0,-37.8221945667,144.9542029667
7226,3,14,1,0,0.0,-37.8130648308,144.9406944308
7226,3,18,1,1,1.0,-37.8130648308,144.9406944308
7226,3,20,1,1,1.0,-37.8130648308,144.9406944308
7226,3,22,4,2,0.5,-37.8130648308,144.9406944308
7226,3,23,2,1,0.5,-37.8130648308,144.9406944308
7226,3,24,1,0,0.0,-37.8130648308,144.9406944308
7226,3,25,2,0,0.0,-37.8130648308,144.9406944308
7227,1,17,1,0,0.0,-37.81879795,144.94962065
7227,1,41,1,1,1.0,-37.81879795,144.94962065
7227,1,46,1,1,1.0,-37.81879795,144.94962065
7228,1,36,1,0,0.0,-37.8197128364,144.9497266818
7228,1,43,1,0,0.0,-37.8197128364,144.9497266818
7228,1,44,2,2,1.0,-37.8197128364,144.9497266818
7228,1,46,3,3,1.0,-37.8197128364,144.9497266818
7229,1,34,1,1,1.0,-37.8213448455,144.9510566818
7229,0,35,1,0,0.0,-37.8213448455,144.9510566818
7229,0,39,1,1,1.0,-37.8213448455,144.9510566818
7229,1,42,1,1,1.0,-37.8213448455,144.9510566818
7230,1,39,1,0,0.0,-37.8208997333,144.9507582333
7230,1,44,1,1,1.0,-37.8208997333,144.9507582333
7231,0,30,2,1,0.5,-37.8209069333,144.9442050333
7231,4,35,1,0,0.0,-37.8209069333,144.9442050333
7231,4,41,1,0,0.0,-37.8209069333,144.9442050333
7231,1,45,1,0,0.0,-37.8209069333,144.9442050333
7232,3,20,1,1,1.0,-37.8130638813,144.9390288094
