Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate
7232,3,24,1,1,1.0
7232,3,25,4,1,0.25
7234,3,23,1,1,1.0
7234,3,24,1,0,0.0
7234,3,25,2,2,1.0
7236,3,16,1,1,1.0
7236,3,21,2,2,1.0
7236,3,22,1,1,1.0
7236,3,23,3,2,0.6667
7236,3,24,14,11,0.7857
7236,3,25,3,1,0.3333
7237,3,12,1,0,0.0
7237,3,21,1,0,0.0
7237,3,23,1,0,0.0
7237,3,24,3,1,0.3333
7237,3,25,1,0,0.0
7239,3,18,1,0,0.0
7239,3,19,5,0,0.0
7239,3,20,4,0,0.0
7239,3,21,3,0,0.0
7239,3,22,3,1,0.3333
7239,3,23,2,0,0.0
7239,3,24,8,3,0.375
7239,3,25,2,2,1.0
7241,3,23,3,2,0.6667
7241,3,24,1,1,1.0
7241,3,25,1,1,1.0
7243,6,32,1,0,0.0
7243,6,36,1,1,1.0
7243,6,37,1,0,0.0
7243,6,38,1,1,1.0
7243,6,39,2,2,1.0
7243,6,43,1,1,1.0
7244,3,22,1,1,1.0
7245,0,17,1,1,1.0
7245,1,17,1,1,1.0
7245,1,22,1,1,1.0
7245,2,16,1,1,1.0
7245,2,18,1,1,1.0
7245,2,23,1,1,1.0
7245,3,15,1,1,1.0
7245,3,16,1,1,1.0
7245,3,21,1,0,0.0
7245,3,22,1,0,0.0
7245,3,23,3,0,0.0
7245,3,24,3,0,0.0
7245,3,25,1,1,1.0
7246,2,19,1,0,0.0
7246,5,27,1,1,1.0
7246,5,30,1,0,0.0
7246,5,31,1,0,0.0
7246,5,46,1,0,0.0
7246,6,5,1,0,0.0
7246,6,18,1,0,0.0
7246,6,25,3,2,0.6667
7246,6,27,1,0,0.0
7246,6,29,1,1,1.0
7246,6,32,1,1,1.0
7246,6,33,3,3,1.0
7246,6,36,1,1,1.0
7246,6,37,2,1,0.5
7246,6,39,1,1,1.0
7246,6,40,2,2,1.0
7246,6,44,1,1,1.0
7246,6,46,2,1,0.5
7247,1,28,1,1,1.0
7247,1,29,1,1,1.0
7247,3,16,1,1,1.0
7247,3,20,1,0,0.0
7247,3,21,2,2,1.0
7247,3,22,2,0,0.0
7247,3,23,11,6,0.5455
7247,3,24,8,5,0.625
7247,3,25,5,3,0.6
7250,0,0,1,1,1.0
7250,2,22,1,1,1.0
7250,2,39,1,0,0.0
7250,5,34,1,0,0.0
7250,6,21,1,0,0.0
7250,6,29,1,0,0.0
7250,6,34,1,1,1.0
7250,6,35,2,1,0.5
7250,6,36,5,5,1.0
7250,6,37,6,6,1.0
7250,6,38,5,5,1.0
7250,6,39,5,5,1.0
7250,6,40,3,3,1.0
7250,6,41,1,0,0.0
7250,6,42,8,7,0.875
7250,6,43,9,8,0.8889
7250,6,44,13,13,1.0
7250,6,45,6,5,0.8333
7250,6,46,4,2,0.5
7250,6,47,2,2,1.0
7251,2,38,1,0,0.0
7251,2,43,1,1,1.0
7251,3,12,1,0,0.0
7251,3,13,2,0,0.0
7251,3,14,1,0,0.0
7251,3,18,1,0,0.0
7251,3,23,5,0,0.0
7251,3,24,5,0,0.0
7251,3,25,2,1,0.5
7252,3,15,1,0,0.0
7252,3,19,1,0,0.0
7252,3,21,1,0,0.0
7252,3,22,2,0,0.0
7252,3,24,1,0,0.0
7252,3,35,1,0,0.0
7253,3,17,3,0,0.0
7253,3,18,1,0,0.0
7253,3,21,2,0,0.0
7253,3,23,4,0,0.0
7253,3,24,4,1,0.25
7253,3,25,1,0,0.0
7254,3,21,1,0,0.0
7254,3,24,3,1,0.3333
7254,3,25,1,0,0.0
7255,4,33,1,0,0.0
7255,5,31,1,1,1.0
7255,6,28,1,1,1.0
7255,6,29,1,0,0.0
