Zone_Number,Latitude,Longitude,slot_0,slot_1,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_2,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_3,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_4,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_5,slot_6,slot_7,slot_8,slot_9
7250,-37.8140846325,144.9829599565,1.0,,,,,,,,,,,,,,0.0,1.0,,,,,,,0.0,,,,,,0.5,0.5,1.0,1.0,1.0,0.5,,1.0,0.0,0.875,0.8889,1.0,0.8333,0.5,1.0,,,,,
7251,-37.8093632561,144.9811469951,,,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.5,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,
7252,-37.8093156917,144.9806169583,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
7253,-37.8101069563,144.9756767312,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7254,-37.8103522833,144.9753678667,,,,,,,,,,,,,,,0.0,,,0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7255,-37.8122734644,144.9864006424,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,0.0,1.0,1.0,,,,,
7258,-37.8103006185,144.9776261556,,,,0.0,,,,,,0.0,0.0,,,0.5,0.0,0.0,0.0,0.0,0.75,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
7259,-37.8114774091,144.9781028955,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7260,-37.8089575472,144.9785292194,,,,,,,,,,,,0.0,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7261,-37.8125411545,144.9364028364,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7264,-37.8140000794,144.9776155382,,,,,,,,,,,,,,0.0,,,0.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7265,-37.8102829393,144.9728732179,1.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,
7266,-37.808527775,144.97354225,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
7267,-37.82174396,144.94353168,,,,,1.0,,1.0,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
7269,-37.8112412941,144.9754867353,,,,,,,,,,,,,,0.5,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7270,-37.8111574,144.985642925,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,0.3333,0.5,,0.0,1.0,,0.0,,,,,,,,,
7271,-37.8115650375,144.9895928578,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
7273,-37.8081316118,144.9715262294,,,,,,,,,,,,,,0.0,0.0,,0.0,0.1429,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
7274,-37.8076086667,144.9706234167,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7275,-37.8082888333,144.9715135,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7278,-37.8122010172,144.976925,,,,,,0.0,0.0,,1.0,0.0,0.0,,,,0.0,0.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7280,-37.81184108,144.97591144,,,,,,0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7282,-37.8212866,144.9506999,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7297,-37.8080482412,144.9726147765,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,0.0,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,
7301,-37.814842587,144.9750476952,,,,,,,,,,1.0,,,,0.0,0.5,1.0,,0.0,0.3333,1.0,,,,,,0.0,,,,1.0,,,0.0,,,,,,,,,,,,,,,
7303,-37.816211225,144.9698038,,,,,,,,,,,,,,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7320,-37.8124179762,144.969450981,,,,,,,,,0.0,0.0,,0.0,,,,1.0,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7329,-37.8181101333,144.9627489833,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7331,-37.8181245667,144.9627862333,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7332,-37.8147751464,144.962936125,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7333,-37.8156849833,144.9622450625,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.75,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
7334,-37.81229296,144.96981033,,,,,,,,,,,,,,,,,0.0,0.5,0.3333,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
7335,-37.8161468439,144.9550803732,,,,,,,,,,,,0.0,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7336,-37.8157713829,144.9566132657,,,,0.0,,,,,,,,,,,,,0.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7339,-37.8153936091,144.9590223818,,,,,,,,,0.0,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7340,-37.8158979714,144.9567060929,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
