Zone_Number,weekday,slot_30,total_obs,availability_rate
7245,4,17,1,1.0
7245,4,32,1,1.0
7245,6,30,1,1.0
7245,6,31,2,0.0
7245,6,32,1,0.0
7245,6,33,1,0.0
7245,6,34,2,0.5
7245,6,36,1,0.0
7245,6,37,3,0.3333333333333333
7246,2,19,1,0.0
7246,5,27,1,1.0
7246,5,30,1,0.0
7246,5,31,1,0.0
7246,5,46,1,0.0
7246,6,5,1,0.0
7246,6,18,1,0.0
7246,6,25,3,0.6666666666666666
7246,6,27,1,0.0
7246,6,29,1,1.0
7246,6,32,1,1.0
7246,6,33,3,1.0
7246,6,36,1,1.0
7246,6,37,2,0.5
7246,6,39,1,1.0
7246,6,40,2,1.0
7246,6,44,1,1.0
7246,6,46,2,0.5
7247,1,28,1,1.0
7247,1,29,1,1.0
7247,6,27,1,0.0
7247,6,29,1,0.0
7247,6,30,1,0.0
7247,6,33,6,0.16666666666666666
7247,6,34,5,0.4
7247,6,35,12,0.0
7247,6,36,2,0.0
7247,6,37,1,1.0
7247,6,38,1,1.0
7250,0,0,1,1.0
7250,2,22,1,1.0
7250,2,39,1,0.0
7250,5,34,1,0.0
7250,6,21,1,0.0
7250,6,29,1,0.0
7250,6,34,1,1.0
7250,6,35,2,0.5
7250,6,36,5,1.0
7250,6,37,6,1.0
7250,6,38,5,1.0
7250,6,39,5,1.0
7250,6,40,3,1.0
7250,6,41,1,0.0
7250,6,42,8,0.875
7250,6,43,9,0.8888888888888888
7250,6,44,13,1.0
7250,6,45,6,0.8333333333333334
7250,6,46,4,0.5
7250,6,47,2,1.0
7251,5,33,1,0.0
7251,6,31,1,0.0
7251,6,33,1,0.0
7251,6,34,2,0.0
7251,6,35,4,0.75
7251,6,36,5,1.0
7251,6,37,3,1.0
7251,6,38,2,1.0
7252,3,35,1,0.0
7252,6,36,3,0.6666666666666666
7252,6,37,2,0.5
7252,6,38,1,1.0
7253,6,13,1,0.0
7253,6,21,1,0.0
7253,6,31,2,0.0
7253,6,32,4,0.0
7253,6,33,1,0.0
7253,6,34,1,0.0
7253,6,35,2,0.0
7253,6,36,1,0.0
7253,6,37,2,0.0
7254,6,26,1,0.0
7254,6,30,1,0.0
7254,6,35,2,0.0
7254,6,37,1,1.0
7255,4,33,1,0.0
7255,5,31,1,1.0
7255,6,28,1,1.0
7255,6,29,1,0.0
7255,6,30,3,1.0
7255,6,32,1,1.0
7255,6,34,1,1.0
7255,6,36,9,1.0
7255,6,37,2,1.0
7255,6,38,1,1.0
7255,6,44,1,1.0
7255,6,45,1,0.0
7255,6,46,1,1.0
7255,6,47,1,1.0
7258,0,37,1,1.0
7258,2,20,1,1.0
7258,5,42,1,0.0
7258,6,31,2,0.0
7258,6,32,4,0.0
7258,6,34,3,0.3333333333333333
7258,6,36,5,0.4
7258,6,37,7,1.0
7259,6,35,1,1.0
7259,6,36,5,0.2
7260,3,19,1,0.0
7260,5,35,1,0.0
7260,6,27,1,1.0
7260,6,34,1,0.0
7261,6,31,2,0.0
7261,6,33,1,0.0
7261,6,35,3,0.0
7261,6,37,1,0.0
7264,6,34,1,1.0
7264,6,35,2,0.5
7264,6,36,4,0.75
7265,0,36,1,1.0
7265,1,15,1,0.0
7265,1,20,1,0.0
7265,1,21,2,0.0
7265,1,22,2,0.0
7265,1,23,4,0.0
7265,5,0,1,1.0
7265,6,24,1,0.0
7265,6,33,1,0.0
7265,6,35,1,0.0
7265,6,36,1,0.0
7265,6,38,1,0.0
7266,1,22,1,0.0
7266,1,42,1,1.0
7267,5,40,1,1.0
7267,5,43,1,0.0
7267,6,18,1,1.0
7267,6,19,1,1.0
7267,6,24,1,1.0
7269,6,25,1,0.0
7269,6,32,1,0.0
7269,6,33,3,0.0
7269,6,34,3,0.0
7269,6,35,1,0.0
7269,6,36,3,0.0
7269,6,37,1,0.0
7270,2,43,1,0.0
7270,6,11,1,0.0
7270,6,22,1,0.0
7270,6,37,2,1.0
7270,6,38,3,0.3333333333333333
7270,6,39,2,0.5
7270,6,40,2,0.0
7270,6,41,1,1.0
7270,6,43,1,0.0
7271,1,27,1,0.0
7271,6,32,1,1.0
7271,6,33,1,1.0
7271,6,35,1,1.0
7271,6,36,2,1.0
7271,6,38,2,1.0
7273,1,33,1,1.0
7273,6,29,1,1.0
7273,6,31,1,1.0
7273,6,32,4,1.0
7273,6,33,2,0.5
7273,6,34,3,1.0
7273,6,37,2,0.5
7274,6,34,1,1.0
7274,6,36,1,1.0
7275,6,32,1,1.0
7275,6,35,1,1.0
7275,6,37,1,1.0
7278,6,30,1,0.0
7278,6,31,1,0.0
7278,6,32,1,0.0
7278,6,33,3,0.3333333333333333
7278,6,34,4,0.5
7278,6,35,1,0.0
7278,6,36,6,0.16666666666666666
7278,6,37,8,0.25
7278,6,38,1,1.0
