KerbsideID,weekday,slot_30,total_obs,availability_rate
10853,4,15,1,1.0
10854,4,29,1,1.0
10855,6,24,1,0.0
10856,6,23,1,0.0
10857,6,24,1,0.0
10858,6,18,1,0.0
10859,4,19,1,0.0
10860,6,25,1,0.0
10861,4,30,1,0.0
10862,6,26,1,0.0
10863,6,26,1,0.0
10864,0,28,1,1.0
10865,3,38,1,0.0
10875,6,26,1,0.0
10877,2,40,1,0.0
10878,4,18,1,1.0
10879,6,35,1,1.0
10880,6,30,1,1.0
10881,6,37,1,1.0
10882,6,21,1,0.0
10883,6,36,1,0.0
10884,6,27,1,1.0
10885,6,29,1,0.0
10886,6,28,1,1.0
10887,6,33,1,1.0
10888,6,29,1,1.0
10889,6,35,1,0.0
10890,6,34,1,0.0
10891,6,35,1,1.0
10892,6,35,1,0.0
10893,0,20,1,1.0
10894,6,23,1,0.0
10895,6,30,1,1.0
10896,6,22,1,0.0
10897,6,36,1,1.0
10898,6,27,1,1.0
10899,6,34,1,1.0
10900,6,24,1,0.0
10901,6,31,1,1.0
10902,6,30,1,0.0
10903,5,36,1,0.0
10904,5,45,1,1.0
10905,6,37,1,1.0
10906,6,38,1,1.0
10907,6,29,1,1.0
10925,6,36,1,0.0
10969,6,36,1,1.0
10970,6,36,1,1.0
10971,6,36,1,1.0
10972,6,34,1,1.0
10973,6,35,1,1.0
10974,6,36,1,0.0
10975,6,35,1,0.0
11111,3,17,1,0.0
11112,3,17,1,1.0
11113,3,13,1,1.0
11114,3,13,1,1.0
11115,2,22,1,0.0
11116,2,22,1,1.0
11117,0,21,1,0.0
11118,3,0,1,1.0
11119,3,16,1,1.0
11120,3,18,1,1.0
11121,2,21,1,1.0
11122,3,15,1,1.0
11123,2,24,1,1.0
11124,4,19,1,0.0
11125,6,33,1,1.0
11126,0,35,1,1.0
11127,6,5,1,1.0
11137,2,12,1,1.0
11138,2,18,1,1.0
11139,1,43,1,1.0
11143,2,19,1,1.0
11144,2,19,1,1.0
11176,6,30,1,1.0
11177,6,32,1,1.0
11178,6,30,1,1.0
11179,6,37,1,1.0
11180,6,35,1,0.0
11184,1,25,1,1.0
11237,3,36,1,1.0
11238,3,34,1,1.0
11239,3,35,1,0.0
11240,4,17,1,1.0
11241,4,17,1,1.0
11242,4,18,1,1.0
11243,4,12,1,1.0
11244,3,31,1,1.0
11245,3,27,1,1.0
11246,1,44,1,1.0
11247,1,42,1,1.0
11248,2,18,1,0.0
11249,2,44,1,1.0
11250,2,10,1,1.0
11251,1,41,1,1.0
11253,1,41,1,1.0
11254,1,27,1,1.0
11255,3,37,1,0.0
11257,4,14,1,0.0
11258,2,41,1,1.0
11259,3,42,1,0.0
11261,3,38,1,0.0
11263,4,17,1,1.0
11264,0,38,1,0.0
11265,3,37,1,1.0
11266,4,17,1,0.0
11267,1,30,1,1.0
11268,2,28,1,0.0
11269,3,40,1,1.0
11358,0,31,1,0.0
11359,4,15,1,1.0
11360,4,19,1,0.0
11361,4,13,1,1.0
11362,4,16,1,1.0
11363,0,26,1,0.0
11364,3,35,1,0.0
11365,0,28,1,0.0
11366,4,18,1,1.0
11367,0,26,1,1.0
11368,0,25,1,0.0
11369,4,14,1,1.0
11396,6,26,1,1.0
11397,5,23,1,1.0
11398,6,26,1,1.0
11399,0,26,1,0.0
11400,4,25,1,0.0
11401,6,26,1,0.0
11402,4,18,1,0.0
11420,0,18,1,0.0
11421,0,21,1,1.0
11422,0,22,1,1.0
11423,0,17,1,0.0
11477,6,31,1,0.0
11478,6,37,1,0.0
11479,6,37,1,0.0
11480,6,15,1,0.0
11481,6,36,1,1.0
11482,6,33,1,0.0
11483,6,34,1,0.0
11484,6,37,1,0.0
11485,6,35,1,0.0
11486,6,37,1,0.0
11487,6,35,1,0.0
11488,6,35,1,0.0
11489,6,35,1,0.0
11490,6,33,1,1.0
11491,6,21,1,0.0
11492,6,35,1,0.0
11791,6,30,1,0.0
11792,6,37,1,1.0
11793,6,15,1,0.0
11794,1,44,1,0.0
11795,1,18,1,1.0
11877,6,37,1,1.0
11878,6,30,1,0.0
11879,6,30,1,0.0
11927,6,31,1,1.0
11928,6,32,1,1.0
11929,6,35,1,1.0
11930,4,36,1,0.0
11931,6,45,1,0.0
11932,6,19,1,0.0
11933,6,25,1,1.0
11934,6,37,1,0.0
11935,6,32,1,0.0
11936,4,25,1,1.0
11943,6,37,1,1.0
11944,6,37,1,1.0
11945,6,32,1,1.0
11946,5,37,1,0.0
11947,4,20,1,0.0
12027,6,34,1,0.0
12028,6,37,1,0.0
12029,6,35,1,1.0
12030,6,30,1,0.0
12031,6,23,1,0.0
12076,4,47,1,1.0
12077,6,36,1,0.0
12079,6,31,1,0.0
12080,6,28,1,0.0
12081,6,33,1,0.0
12082,6,37,1,0.0
12083,6,35,1,0.0
12089,6,32,1,0.0
12090,6,36,1,0.0
12091,6,29,1,0.0
12092,6,29,1,0.0
12093,1,16,1,1.0
12094,6,37,1,0.0
12095,6,36,1,0.0
12112,6,36,1,1.0
12113,6,13,1,0.0
12114,6,37,1,1.0
12115,6,13,1,0.0
12116,6,14,1,0.0
12117,6,37,1,0.0
12118,6,29,1,0.0
12119,6,22,1,0.0
12120,6,22,1,0.0
12121,6,23,1,0.0
12122,6,35,1,0.0
12123,6,29,1,0.0
12124,6,27,1,0.0
12125,6,24,1,0.0
12126,5,35,1,0.0
12127,6,33,1,0.0
12283,5,43,1,0.0
12284,6,34,1,1.0
12285,6,18,1,0.0
12286,6,38,1,1.0
12287,6,28,1,0.0
12288,6,37,1,0.0
12289,6,35,1,0.0
12292,6,25,1,0.0
12293,6,37,1,0.0
12295,6,26,1,0.0
12297,6,34,1,0.0
12298,6,37,1,0.0
13021,6,33,1,0.0
13022,6,37,1,1.0
13122,3,25,1,1.0
13126,4,19,1,1.0
13127,4,19,1,0.0
13130,4,8,1,0.0
13131,3,46,1,1.0
13132,4,19,1,0.0
13133,1,21,1,0.0
13134,2,18,1,1.0
13135,4,17,1,0.0
13136,3,45,1,1.0
13137,4,11,1,1.0
13138,4,17,1,1.0
13139,2,28,1,1.0
13140,0,8,1,1.0
13149,6,37,1,0.0
13388,6,37,1,0.0
13389,6,34,1,1.0
13390,6,36,1,1.0
13391,6,32,1,0.0
13392,6,36,1,0.0
13393,6,36,1,0.0
13394,6,34,1,1.0
13395,6,27,1,0.0
13396,6,30,1,1.0
13397,6,32,1,0.0
13398,6,31,1,0.0
13399,6,33,1,0.0
13400,6,33,1,0.0
13401,5,33,1,0.0
13402,5,35,1,0.0
13403,6,29,1,0.0
13404,6,34,1,0.0
13405,6,32,1,0.0
13406,6,33,1,0.0
13407,6,34,1,0.0
13408,6,23,1,0.0
13409,6,36,1,0.0
13410,6,35,1,0.0
13419,6,32,1,0.0
13420,6,33,1,0.0
13421,1,28,1,1.0
13422,6,36,1,0.0
13423,6,31,1,0.0
13424,6,34,1,0.0
13427,6,32,1,0.0
13428,6,33,1,1.0
13429,6,34,1,0.0
13430,6,30,1,1.0
13431,6,30,1,0.0
13435,6,31,1,0.0
13436,6,25,1,0.0
13437,6,34,1,0.0
13438,6,33,1,0.0
13439,6,21,1,0.0
13442,6,37,1,1.0
13443,6,36,1,0.0
13444,6,36,1,0.0
13445,6,33,1,0.0
13448,6,28,1,0.0
13449,6,33,1,0.0
13450,6,33,1,1.0
13451,6,34,1,0.0
13452,6,28,1,1.0
13453,2,34,1,1.0
13454,6,37,1,1.0
13455,6,37,1,0.0
13456,6,36,1,0.0
13457,0,31,1,1.0
13458,6,24,1,0.0
13459,6,23,1,0.0
13462,6,27,1,1.0
13463,6,36,1,0.0
13464,5,45,1,1.0
13465,6,28,1,0.0
13466,6,21,1,1.0
13467,5,23,1,1.0
13468,6,36,1,1.0
13469,6,5,1,1.0
13470,6,29,1,1.0
13471,4,28,1,1.0
13472,6,34,1,1.0
13473,0,34,1,1.0
13474,6,29,1,1.0
13475,6,35,1,1.0
13476,6,29,1,1.0
14761,4,32,1,1.0
14792,6,35,1,0.0
14793,6,33,1,0.0
14794,6,35,1,0.0
14795,6,37,1,0.0
14796,6,31,1,0.0
14857,6,34,1,1.0
14858,3,40,1,1.0
14909,2,22,1,1.0
14990,6,36,1,0.0
14991,6,35,1,0.0
14992,6,37,1,0.0
14993,6,35,1,0.0
14994,6,36,1,0.0
14995,6,35,1,0.0
14996,6,30,1,0.0
