KerbsideID,Latitude,Longitude,RoadSegmentDescription,Zone_Number
,-37.8335296,144.9783261,Domain Road between Dallas Brooks Drive and Domain Street,7348.0
,-37.8335648,144.9785974,Domain Road between Dallas Brooks Drive and Domain Street,7348.0
,-37.8337282,144.9798758,Domain Road between Domain Street and Hope Street,
75274,-37.8277522,144.9563991,Haig Street between Clarendon Street and Westgate Freeway,
,-37.8259698,144.9566198,Whiteman Street between Westgate Freeway and Clarendon Street,
,-37.8422608,144.9778508,St Kilda Road between Armadale Street and Commercial Road,
,-37.8038731,144.9524934,Chetwynd Street between Victoria Street and Queensberry Street,7739.0
,-37.8043506,144.9524086,Chetwynd Street between Victoria Street and Queensberry Street,7739.0
53935,-37.818201,144.9621819,Queen Street between Flinders Street and Flinders Lane,7592.0
,-37.8267809,144.9690043,Wells Street between Grant Street and Miles Street,
75940,-37.8276256,144.9660143,Sturt Street between Grant Street and Miles Street,
22022,-37.7992041,144.9536251,Villiers Street between Flemington Road and Courtney Street,7757.0
12293,-37.7990268,144.9535178,Villiers Street between Flemington Road and Courtney Street,7757.0
,-37.8116244,144.9753767,Parliament Place between St Andrews Place and Gisborne Street,7269.0
65466,-37.812795,144.9604165,Lonsdale Street between Elizabeth Street and Queen Street,7551.0
18575,-37.8193131,144.9486366,Batmans Hill Drive between Bourke Street and Collins Street,7163.0
70626,-37.8215215,144.9661715,City Road between Southgate Avenue and Sturt Street,
77421,-37.8279427,144.9712849,St Kilda Road between Anzac Avenue and Coventry Street,
65196,-37.8107415,144.9678272,Lonsdale Street between Exhibition Street and Russell Street,7568.0
94721,-37.8210506,144.9434686,Collins Street between Merchant Street and Bourke Street,7186.0
18622,-37.821106,144.9429573,Collins Street between Merchant Street and Bourke Street,7186.0
,-37.8309197,144.9675187,Dorcas Street between Wells Street and Dodds Street,
20595,-37.8196129,144.9470582,Harbour Esplanade between Collins Street and Bourke Street,7202.0
20599,-37.8205047,144.9472127,Harbour Esplanade between Collins Street and Bourke Street,7202.0
21488,-37.819886,144.9469832,Harbour Esplanade between Collins Street and Bourke Street,7202.0
90841,-37.8215199,144.9474747,Harbour Esplanade between McCrae Street and Collins Street,7184.0
,-37.8254047,144.9613635,Balston Street between City Road and Kavanagh Street,
,-37.8257482,144.9618268,Balston Street between City Road and Kavanagh Street,
,-37.8256774,144.962519,Kavanagh Street between Power Street and Balston Street,
,-37.8254798,144.9627511,Kavanagh Street between Power Street and Balston Street,
,-37.8239795,144.9645111,Kavanagh Street between Southbank Boulevard and Power Street,
,-37.8241678,144.9642909,Kavanagh Street between Southbank Boulevard and Power Street,
60424,-37.8185299,144.9633934,Flinders Street between Elizabeth Street and Queen Street,7434.0
19286,-37.7991902,144.9655789,Cardigan Street between Grattan Street and Faraday Street,
,-37.808496,144.9677831,La Trobe Street between Exhibition Street and Russell Street,7406.0
,-37.8270472,144.972403,Birdwood Avenue between Dallas Brooks Drive and Anzac Avenue,
,-37.7954698,144.9468931,Abbotsford Street between Canning Street and Erskine Street,
,-37.7956426,144.9468607,Abbotsford Street between Canning Street and Erskine Street,
,-37.8052718,144.9552576,Capel Street between Victoria Street and Queensberry Street,7712.0
35518,-37.8015701,144.9628604,Lincoln Square North between Swanston Street and Bouverie Street,7014.0
35516,-37.8015853,144.9629953,Lincoln Square North between Swanston Street and Bouverie Street,7014.0
53712,-37.8078182,144.9603196,Elizabeth Street between Franklin Street and Therry Street,
,-37.8126818,144.9834926,Gipps Street between Powlett Street and Clarendon Street,7250.0
13410,-37.8197507,144.9440534,Bourke Street between Enterprize Way and Cumberland Street,7178.0
,-37.7937796,144.9458941,Brougham Street between Abbotsford Street and Dryburgh Street,
,-37.7937594,144.9457959,Brougham Street between Abbotsford Street and Dryburgh Street,
,-37.7968823,144.9554931,Story Street between Benjamin Street and Fitzgibbon Street,7800.0
,-37.8234225,144.9418005,Point Park Crescent between Lorimer Street and South Wharf Drive,
,-37.7930458,144.9588064,College Crescent between Royal Parade and Cemetery Road West,
66444,-37.8130497,144.9558267,Little Lonsdale Street between William Street and King Street,7547.0
26238,-37.8035885,144.9633459,Swanston Street between Queensberry Street and Lincoln Square South,7025.0
,-37.7913303,144.9583688,Royal Parade between Gatehouse Street and MacArthur Road,
,-37.8085837,144.9592837,Franklin Street between Elizabeth Street and Queen Street,
17437,-37.8101398,144.9756892,Gisborne Street between Cathedral Place and Albert Street,7253.0
5959,-37.8121426,144.9776289,St Andrews Place between Lansdowne Street and MacArthur Street,7278.0
,-37.782806,144.9638725,Garton Street between MacPherson Street and Bowen Crescent,
,-37.7826997,144.9638895,Garton Street between MacPherson Street and Bowen Crescent,
,-37.7832359,144.9638039,Garton Street between MacPherson Street and Bowen Crescent,
,-37.7844819,144.9636036,Garton Street between MacPherson Street and Bowen Crescent,
,-37.808701,144.9503217,Rosslyn Street between King Street and Spencer Street,7985.0
17455,-37.8106773,144.9760746,Cathedral Place between Lansdowne Street and Gisborne Street,7247.0
,-37.8324126,144.9841134,Anderson Street between Fairlie Court and Clowes Street,
,-37.8334075,144.9849744,Acland Street between Anderson Street and Walsh Street,
,-37.7934926,144.9696872,Drummond Street between Palmerston Street and Princes Street,
,-37.809135,144.9473942,Stanley Street between Adderley Street and Spencer Street,
,-37.809028,144.9475708,Stanley Street between Adderley Street and Spencer Street,
